timestamp,open,high,low,close,volume,symbol
2025-06-18 06:00:00,0.5653,0.5666,0.5593,0.5613,284216.0942,OP/USDT
2025-06-18 07:00:00,0.5609,0.5639,0.5603,0.5636,286834.0898,OP/USDT
2025-06-18 08:00:00,0.5638,0.5651,0.5552,0.5577,278621.9356,OP/USDT
2025-06-18 09:00:00,0.5576,0.559,0.5521,0.5553,432129.7839,OP/USDT
2025-06-18 10:00:00,0.5552,0.5552,0.5374,0.5377,1087701.4918,OP/USDT
2025-06-18 11:00:00,0.5374,0.5456,0.5331,0.5448,1104446.6996,OP/USDT
2025-06-18 12:00:00,0.5449,0.5454,0.5387,0.5401,485605.0029,OP/USDT
2025-06-18 13:00:00,0.5401,0.547,0.5347,0.5463,2553736.3262,OP/USDT
2025-06-18 14:00:00,0.5466,0.5582,0.5438,0.5497,755474.1768,OP/USDT
2025-06-18 15:00:00,0.5497,0.5556,0.5461,0.5517,419710.2091,OP/USDT
2025-06-18 16:00:00,0.5515,0.5519,0.5452,0.5471,808352.2055,OP/USDT
2025-06-18 17:00:00,0.547,0.5539,0.5431,0.5515,572539.9585,OP/USDT
2025-06-18 18:00:00,0.5516,0.5572,0.5457,0.5457,955259.3941,OP/USDT
2025-06-18 19:00:00,0.5456,0.5549,0.5444,0.5496,482158.1827,OP/USDT
2025-06-18 20:00:00,0.5498,0.5693,0.548,0.5683,558999.7997,OP/USDT
2025-06-18 21:00:00,0.5685,0.5696,0.5628,0.5674,484404.8175,OP/USDT
2025-06-18 22:00:00,0.5671,0.569,0.5645,0.567,220724.7897,OP/USDT
2025-06-18 23:00:00,0.5669,0.5687,0.5606,0.5637,263977.1668,OP/USDT
2025-06-19 00:00:00,0.5637,0.5728,0.5625,0.5672,676804.7465,OP/USDT
2025-06-19 01:00:00,0.5674,0.5682,0.5626,0.5636,408547.8554,OP/USDT
2025-06-19 02:00:00,0.5636,0.5652,0.5607,0.5615,299838.8821,OP/USDT
2025-06-19 03:00:00,0.5616,0.5659,0.5616,0.5656,199352.6366,OP/USDT
2025-06-19 04:00:00,0.5657,0.568,0.5629,0.5677,210680.728,OP/USDT
2025-06-19 05:00:00,0.5677,0.5708,0.5665,0.5666,310449.024,OP/USDT
2025-06-19 06:00:00,0.5667,0.569,0.565,0.5664,207682.855,OP/USDT
2025-06-19 07:00:00,0.5666,0.5686,0.5653,0.5656,240370.9713,OP/USDT
2025-06-19 08:00:00,0.5659,0.5706,0.5655,0.5673,710182.3362,OP/USDT
2025-06-19 09:00:00,0.5673,0.5752,0.5667,0.5735,607503.1455,OP/USDT
2025-06-19 10:00:00,0.5738,0.5742,0.5671,0.5678,291386.633,OP/USDT
2025-06-19 11:00:00,0.5676,0.5678,0.564,0.5654,246188.8207,OP/USDT
2025-06-19 12:00:00,0.5656,0.5688,0.5642,0.5683,187023.8986,OP/USDT
2025-06-19 13:00:00,0.5682,0.5697,0.5615,0.563,372167.7489,OP/USDT
2025-06-19 14:00:00,0.5633,0.5661,0.5592,0.5605,392797.6438,OP/USDT
2025-06-19 15:00:00,0.5603,0.5631,0.5594,0.5597,242668.9524,OP/USDT
2025-06-19 16:00:00,0.5598,0.5625,0.5558,0.5564,377437.0004,OP/USDT
2025-06-19 17:00:00,0.5566,0.5674,0.5559,0.5634,357294.7927,OP/USDT
2025-06-19 18:00:00,0.5634,0.5677,0.5596,0.5614,257432.6071,OP/USDT
2025-06-19 19:00:00,0.5614,0.5633,0.5594,0.5598,102727.506,OP/USDT
2025-06-19 20:00:00,0.5599,0.5622,0.5572,0.5596,171195.7992,OP/USDT
2025-06-19 21:00:00,0.5598,0.5629,0.5579,0.562,248684.3693,OP/USDT
